ESTU;CUES;CCAA;PROV;MUN;CAPITAL;TAMUNI;ENTREV;TIPO_TEL;SEXO;SEXO_NOMBRE;ORIENTACION;PAREJA;FELICIDAD;UNION_FISICA;UNION_EMOCIONAL;EDAD;EDAD_RANGO;P0;P1_1;P1_2;P1_3;P2_1;P2_2;P2_3;P2_4;P3_1;P3_2;P3_3;P3_4;P3_5;P3_6;P3_7;P3_8;P4_1;P4_2;P4_3;P4_4;P5;P5A_1;P5A_2;P5A_3;P5A_4;P5A_5;P5A_6;P5A_7;P6_1;P6_2;P6_3;P6_4;P6_5;P7_1;P7_2;P7_3;P7_4;P7_5;P7_6;P7_7;P7_8;P8;P8AMES;P8AANNO;P8B;P9_1;P9_2;P9_3;P9_4;P9_5;P10_1;P10_2;P10_3;P10_4;P10_5;P11;P12;P13_1;P13_2;P13_3;P13_4;P13_5;P13_6;P13_7;P13_8;P14_1;P14_2;P14_3;P14_4;P14_5;P15;P16;P17_1;P17_2;P17_3;P18_1;P18_2;P18_3;P18_4;P18_5;P18_6;P18_7;P19;P20;ESCIDEOL;PARTICIPACIONG;RECUVOTOG;SITLAB;CNO11;SITCONVIVEN;ESCUELA;NIVELESTENTREV;RELIGION;FRECUENCIARELIGION;CLASESOCIAL;P29_1;P29_2;P29A_1;P29A_2;IA_I501;IA_I502;IA_I503;IA_I504;IA_I505;IA_I506;IA_I507;IA_I508;IA_I509;IA_I510;IA_I511;IA_I512;IA_I513;IA_I514;IA_I515;IA_I516;IA_I517;IA_I518;IA_I519;IA_I520;IA_I521;IA_I522;IA_I523;IA_I524;IA_I525;IA_I526;IA_I528;IA_I529;IA_I530;IA_I531;IA_I532;IA_I533;IA_I534;IA_I535;IA_I536;IA_I537;IA_I538;IA_I539;IA_I540;IA_I541;IA_I542;IA_I543;IA_OBS0;IA_OBS1;IA_OBS2;IA_E1_DIA;IA_E1_MES;IA_E1_ANYO;IA_E2;IA_E3;IA_E4;IA_VALIDA;IA_APLAZADA;IA_MODIFICADA;IA_SUPERVISADA;IA_C2;IA_C2A;IA_C2B_1;IA_C2B_2;IA_C2B_3;IA_C2B_4;IA_C2B_5;IA_C2B_6;IA_C2B_7;IA_C2B_8;IA_C2B_9;IA_C2B_10;IA_C2B_11;IA_C2B_12;IA_C2B_13;IA_C2B_14;IA_C2B_15;IA_C2B_16;IA_C2B_17;IA_C2B_18;IA_C2B_19;IA_C2B_20;IA_C2B_21;IA_C2B_22;IA_C2B_23;IA_C2B_24;IA_C2B_25;IA_C3;IA_C4;P8A;RECUVOTOGR;RECUERDO;CNO11R;ESTUDIOS;RELIGIONR;CLASESUB
3325;1;1;4;0;3;3;0;2;1;Hombre;Heterosexual;Con pareja;7;10;10;36;36-38;1;10;7;10;1;1;1;2;1;1;5;1;5;1;8;5;8;10;8;6;1;1;2;2;2;2;2;2;3;3;7;2;3;2;2;1;3;1;2;2;7;1;0;11;1;1;1;3;3;3;2;2;2;2;2;10;10;4;5;4;2;5;2;1;2;3;2;2;2;2;5;3;3;3;3;4;1;4;4;4;2;3;1;7;5;5;;1;2;3;3;8;4;;3;1;2;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;5;21;5;22;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;132;;97;2;6;4;2
3325;2;1;4;13;2;5;0;2;1;Hombre;Heterosexual;Con pareja;9;2;8;51;51-53;1;8;9;9;2;2;1;8;1;1;1;3;1;5;7;1;7;10;10;10;1;1;1;1;1;9;1;2;3;3;3;1;3;5;5;5;5;5;5;5;1;1;0;3;3;3;3;3;3;2;2;2;1;2;1;2;8;4;4;3;2;5;5;2;1;3;2;2;2;2;99;2;3;3;3;2;1;3;3;4;2;3;1;9;8;1;1;1;1;1;3;11;1;1;98;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;28;5;21;5;18;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;36;1;1;1;6;1;8
3325;3;1;4;13;2;5;0;2;2;Mujer;Heterosexual;Soltero/a;8;0;0;61;60-62;1;10;9;97;1;1;1;2;7;7;7;7;1;3;7;7;10;10;10;97;1;1;1;2;7;7;2;7;1;3;7;1;3;4;2;2;5;97;2;7;97;2;;;;;;;;;;;;;;;;4;2;2;5;5;2;1;1;4;1;1;1;1;7;4;7;7;7;7;7;7;7;7;7;7;1;8;3;1;2;2;;9;3;11;6;;4;2;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;5;21;5;18;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;2;2;12;6;4;3
3325;4;1;4;13;2;5;0;1;1;Hombre;Heterosexual;Con pareja;8;10;9;70;69-71;1;9;9;9;2;2;2;2;98;98;98;98;98;98;98;98;3;5;3;97;2;;;;;;;;3;3;7;2;2;1;7;6;4;1;2;7;97;1;0;40;1;7;7;3;3;3;2;1;1;2;1;10;9;2;8;2;4;2;4;2;2;9;2;2;2;3;5;8;3;3;3;4;3;4;4;4;0;4;1;8;4;1;21;2;;4;3;12;6;;3;2;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;1;6;21;2;17;1;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;480;21;21;12;6;4;2
3325;5;1;4;13;2;5;0;2;1;Hombre;Heterosexual;Con pareja;10;7;10;24;24-26;1;10;10;10;2;2;1;1;5;8;5;5;5;2;7;5;5;10;10;7;1;1;1;2;1;2;1;2;3;1;7;1;3;1;1;97;3;97;1;7;3;1;10;0;1;1;7;1;1;1;1;1;1;1;1;7;10;1;2;1;1;1;2;2;4;4;1;1;1;1;5;1;3;3;3;4;1;4;4;4;0;3;1;10;4;5;;1;4;4;3;6;4;;2;1;2;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;21;2;19;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;;97;4;4;4;1
3325;6;1;4;13;2;5;0;2;2;Mujer;Heterosexual;Con pareja;8;5;6;52;51-53;1;8;7;5;1;1;1;1;6;1;1;3;1;2;4;2;8;8;7;7;1;1;2;1;2;2;2;2;3;3;1;3;3;2;2;1;5;1;3;6;4;1;0;20;1;8;3;1;3;3;2;2;1;1;1;5;6;4;8;4;4;8;8;2;2;2;2;2;1;3;5;2;2;2;2;3;2;4;4;4;0;4;1;8;2;5;;1;2;3;3;11;5;;3;8;8;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;0;12;0;0;0;0;2;6;21;3;19;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;240;;97;2;6;4;2
3325;7;1;4;13;2;5;0;2;1;Hombre;Heterosexual;Con pareja;7;10;10;60;60-62;1;10;8;10;1;1;2;1;5;5;5;1;5;7;5;98;5;10;10;2;2;;;;;;;;3;1;7;2;2;97;5;1;2;1;1;7;7;1;0;36;1;7;7;1;2;3;1;1;1;1;1;10;10;1;2;1;1;2;5;4;4;3;2;1;1;3;5;4;2;1;3;4;1;4;4;4;0;4;1;7;5;1;18;8;;3;3;4;2;3;4;8;8;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;4;6;21;5;21;3;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;432;18;18;15;3;2;3
3325;8;1;4;13;2;5;0;2;2;Mujer;Heterosexual;Soltero/a;10;0;0;73;72-74;1;10;10;97;1;2;1;1;1;5;5;5;5;5;5;5;10;10;10;97;2;;;;;;;;3;3;7;3;3;97;3;1;6;97;1;1;5;2;;;;;;;;;;;;;;;;1;2;1;1;1;5;4;4;2;2;2;2;4;1;4;7;7;7;4;3;7;7;7;7;7;1;10;5;1;2;2;;9;3;11;1;4;3;2;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;3;6;21;4;23;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;2;2;12;6;1;2
3325;9;1;4;13;2;5;0;1;1;Hombre;Heterosexual;Con pareja;7;5;5;48;48-50;1;9;9;7;1;1;1;2;7;5;5;7;5;1;5;5;6;10;9;5;1;2;2;2;2;2;2;2;3;3;3;2;3;3;3;1;5;1;4;7;7;1;0;27;1;7;3;3;3;2;2;1;1;1;1;5;5;4;2;2;2;2;4;2;4;3;2;2;1;2;5;8;3;3;3;4;2;4;4;4;0;4;1;7;10;1;18;1;1;3;3;11;2;3;3;2;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;3;6;21;4;15;3;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;324;18;18;1;6;2;2
3325;10;1;4;13;2;5;0;1;2;Mujer;Heterosexual;Soltero/a;7;0;0;68;66-68;1;10;6;97;1;1;8;1;4;4;3;98;2;2;2;2;4;10;10;97;1;1;2;1;7;7;1;2;7;3;7;3;3;97;7;1;7;97;3;7;97;2;;;;;;;;;;;;;;;;2;2;1;1;1;5;5;5;8;8;8;8;8;1;2;3;3;3;4;3;4;4;4;0;4;1;7;99;1;2;2;;1;3;6;2;2;11;2;2;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;7;6;21;1;19;2;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;2;2;12;4;2;6
